"PetID","Kind","Gender","Age","OwnerID","Nickname"
"J6-8562","Dog","male",11,5168,"Blackie"
"Q0-2001","Cat","male",9,5508,"Roomba"
"M0-2904","Cat","male",1,3086,"Simba"
"R3-7551","Parrot","female",2,7908,"Keller"
"P2-7342","Dog","male",13,4378,"Cuddles"
"X0-8765","Parrot","female",11,7581,"Vuitton"
"Z4-5652","Cat","female",7,7343,"Priya"
"Z4-4045","Cat","male",0,2700,"Simba"
"M8-7852","Cat","female",8,7606,"Cookie"
"J2-3320","Dog","male",3,1319,"Heisenberg"
"T2-2142","Cat","female",15,1132,"Stowe"
"U4-9376","Dog","female",2,7846,"Scout"
"H8-1429","Dog","female",3,7846,"Lily"
"X8-9212","Dog","male",5,3661,"Danger"
"G4-8096","Dog","male",9,9037,"Danger"
"S4-9578","Dog","male",9,9850,"Scooter"
"H8-8856","Parrot","male",11,6102,"Bandit"
"F6-5391","Cat","female",9,5508,"Cookie"
"J0-7893","Dog","male",12,1334,"Crockett"
"Q0-3593","Parrot","female",4,4989,"Oakley"
"O8-2501","Parrot","male",5,1899,"Bandit"
"T0-5705","Dog","female",5,5833,"Biscuit"
"Q5-5872","Dog","male",12,2103,"Taz"
"Z6-3226","Cat","male",11,4793,"Simba"
"U4-5113","Cat","male",12,7772,"Tiger"
"X8-8611","Dog","male",4,6731,"Schwarzkopf"
"P0-1725","Dog","female",0,2419,"Lily"
"N6-7350","Dog","female",8,3518,"Biscuit"
"Q2-3642","Parrot","female",8,8143,"Thatcher"
"G0-7675","Dog","male",4,8133,"Taz"
"U2-4205","Dog","male",5,3615,"Cuddles"
"L0-6660","Dog","male",9,5806,"Cookie"
"S4-0789","Dog","female",10,7101,"Biscuit"
"N7-6805","Cat","female",12,1202,"Enyo"
"J1-6366","Dog","male",3,8316,"Bruce"
"Q9-1565","Dog","female",14,1766,"Scout"
"L8-9022","Dog","male",7,7085,"Bright"
"P9-6519","Cat","female",6,1653,"Cookie"
"G0-8531","Cat","female",0,8830,"Sojourner"
"O5-2472","Dog","male",12,4185,"Bright"
"X7-2632","Parrot","female",7,9614,"Maripol"
"O3-1895","Dog","female",3,8133,"Candy"
"N8-0553","Dog","male",15,7393,"Tiger"
"S4-4013","Dog","male",3,7484,"Pip"
"Q4-9479","Dog","female",9,4408,"Candy"
"V2-4634","Dog","male",12,2063,"Goethe"
"L4-9973","Dog","male",5,2967,"Houdini"
"O1-7229","Parrot","male",10,7484,"Dexter"
"V4-6172","Cat","female",9,7359,"Sarosh"
"L4-6292","Dog","male",13,3089,"Bright"
"R7-4835","Dog","male",12,5215,"Cookie"
"U0-5987","Cat","male",0,5508,"Ebenezer"
"L4-2594","Cat","male",6,6405,"Newcastle"
"T8-1754","Dog","female",13,9850,"Daisy"
"U4-6674","Dog","female",1,3663,"Biscuit"
"W7-6372","Dog","female",8,3644,"Daisy"
"L4-4030","Dog","male",1,5502,"Bruce"
"J8-7429","Dog","male",4,8215,"Bonaparte"
"I7-9550","Dog","female",12,3089,"Angel"
"O8-0027","Dog","male",7,5737,"Scooter"
"W8-5750","Cat","male",15,6102,"Simba"
"F2-3235","Dog","male",8,1306,"Danger"
"I6-9459","Dog","female",4,6049,"Biscuit"
"O6-3123","Dog","female",2,6194,"Biscuit"
"M2-1131","Cat","male",8,1915,"Rumba"
"R4-6131","Dog","female",5,2863,"Biscuit"
"I2-7926","Parrot","female",4,9900,"Dior"
"Q8-8753","Dog","male",7,6157,"Danger"
"W9-8307","Dog","female",1,5207,"Lexie"
"S1-2243","Dog","male",2,5447,"Cuddles"
"M4-9675","Cat","male",6,6923,"Jeep"
"Q0-8904","Dog","male",1,4110,"Bright"
"T0-3277","Cat","male",12,8133,"Humbert"
"V5-2342","Dog","male",8,9039,"Jake"
"P9-3625","Dog","male",14,7579,"Cuddles"
"H2-8586","Cat","female",8,7663,"Antigone"
"P7-2443","Cat","male",10,7219,"Rumba"
"G6-6501","Cat","male",2,3089,"Jake"
"K4-5012","Parrot","female",11,2755,"Natacha"
"J2-4382","Parrot","male",4,7261,"Dexter"
"G9-0817","Cat","male",5,2722,"Kashi"
"K0-8177","Dog","male",12,2809,"Bruce"
"U2-7207","Dog","female",6,7023,"Daisy"
"S4-2254","Cat","male",3,8619,"Draper"
"P1-2578","Cat","male",14,3034,"Tiger"
"V7-6771","Dog","female",4,3245,"Daisy"
"Q8-3145","Dog","female",13,5796,"Peanut"
"L4-4205","Cat","male",5,1312,"Rumba"
"S4-1063","Dog","male",0,3691,"Bruce"
"L2-1834","Dog","female",4,1306,"Collette"
"L8-0046","Cat","male",7,9828,"Rumba"
"U6-4890","Dog","male",6,1546,"Blackie"
"X6-4876","Cat","female",3,6406,"Brandy"
"F1-1855","Parrot","male",2,9604,"Bandit"
"Z8-4419","Dog","male",3,4464,"Scooter"
"U8-6473","Dog","female",3,1070,"Biscuit"
"I5-4893","Cat","female",3,7340,"Cookie"
"Q8-0954","Cat","female",7,9385,"Lakshmi"
"N0-9539","Cat","male",14,9365,"Swiffer"
"S5-5938","Dog","male",6,9427,"Taz"
